申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,房地(土地+建物)+車位,1,1,1,2,1,1,有,住宅大樓(11層含以上有電梯),"3,980,000",,,,有,1100528,,4,清豐段,10.89,第三種商業區,,,96.37,住家用,鋼筋混凝土造,15,951016,15,二層;,0,13.31,興楠路309巷50弄1號二樓,楠梓區,清豐段,4550000,2685000,,1100701
買賣,房地(土地+建物),1,1,,2,2,2,有,公寓(5樓含以下無電梯),"3,000,000",,,,無,1100604,,4,和平段五小段,22.61,第三種住宅區,,,85.62,無建物主要用途資料,鋼筋混凝土造,5,701222,39,三層;,,,惠民路8巷18號三樓,楠梓區,和平段五小段,4170000,154000,,1100701
買賣,房地(土地+建物),1,1,,4,1,4,有,公寓(5樓含以下無電梯),"2,850,000",,,,無,1100524,,4,和平段一小段,33.88,第三種住宅區,,,79.71,無建物主要用途資料,鋼筋混凝土造,4,680811,42,四層;,,,德賢路592巷22弄3號四樓,楠梓區,和平段一小段,6040000,123000,,1100701
買賣,房地(土地+建物),1,1,,2,2,2,有,透天厝,"2,600,000",,,,無,1100428,,4,楠梓段四小段,65,第三種住宅區,,,105.26,無建物主要用途資料,加強磚造,2,690124,41,一層;二層;騎樓;夾層;,,,惠春街122號,楠梓區,楠梓段四小段,5490000,179000,0201.親友、員工、共有人或其他特殊關係間之交易,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,800,000",,,,有,1100609,"本案與大貝湖段162地號為同一買賣案件，總價無法拆分。
含未登記建物露台。",5,澄東段,24.72,第三種住宅區,,,149.04,見其他登記事項,鋼筋混凝土造,24,1090520,1,三層;,0,28.92,文安南街38號三樓,三民區,澄東段,1100000,1330000,0305.未登記建物,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"12,100,000",,,,有,1100508,本案與大貝湖段162地號為同一買賣案件，總價無法拆分。,5,澄東段,28.87,第三種住宅區,,,163.35,見其他登記事項,鋼筋混凝土造,24,1090520,1,三層;,0,28.92,文安南街22號三樓,三民區,澄東段,1100000,1198000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"9,800,000",,,,有,1100522,,5,鼎泰段,17.77,第四種住宅區,,,162.15,住家用,鋼筋混凝土造,14,861220,23,十一層;,0,24.82,河堤路530之5號十一樓,三民區,鼎泰段,14740004,4613000,,1100701
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"4,850,000",,,,有,1100508,露臺增建。,5,建興段,5.47,第五種商業區,,,71.5,住家用,鋼筋混凝土造,14,940614,16,十層;,,,大順二路199之1號十樓,三民區,建興段,6870000,1542000,0301.陽台外推0304.其他增建,1100701
買賣,房地(土地+建物)+車位,1,1,1,1,1,1,有,住宅大樓(11層含以上有電梯),"3,105,000",,,"1,000,000",有,1100609,,5,三塊厝段一小段,4.53,第四種商業區,,,67.86,商業用,鋼骨鋼筋混凝土造,25,870929,23,十九層;,"1,000,000",16.2,南台路195巷13號十九樓之19,三民區,三塊厝段一小段,10850001,15536000,,1100701
買賣,房地(土地+建物),1,1,,1,1,1,有,華廈(10層含以下有電梯),"3,100,000",,,,有,1100529,,5,大港段,10.49,第五種住宅區,,,69.93,無建物主要用途資料,鋼筋混凝土造,7,800102,30,七層;,,,懷安街175號七樓之6,三民區,大港段,35550000,22026000,,1100701
買賣,房地(土地+建物),5,1,,3,2,1,有,住宅大樓(11層含以上有電梯),"3,000,000",,,,有,1100414,,5,大港段,25.09,第五種住宅區,,,68.85,住家用,鋼筋混凝土造,11,671216,42,六層;,,,九如一路883號六樓之1,三民區,大港段,36060000,10443000,,1100701
買賣,房地(土地+建物),1,1,,3,2,1,有,公寓(5樓含以下無電梯),"2,000,000",,,,無,1100615,,5,建德段,22.2,第五種商業區,,,67.93,無建物主要用途資料,鋼筋混凝土造,5,690122,41,五層;,,,建工路433巷30號五樓,三民區,建德段,2140000,1038000,,1100701
買賣,土地,2,0,,,,,有,,"1,569,700",,,,無,1100622,本筆交易係為道路用地,5,灣復段,111.55,道路用地,,,,無建物主要用途資料,無建物主要建材,,,,,,,灣復段 88-6 地號,三民區,灣復段,880006,,,1100701
