申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
買賣,房地(土地+建物),2,1,,3,2,2,有,公寓(5樓含以下無電梯),"2,950,000",,,,無,1120826,17.98,其他-第四種商業區,,,74.34,無建物主要用途資料,鋼筋混凝土造,五層;,0680221,45,五層;,,,高雄市鹽埕區五福四路３２５號五樓之４,鹽埕區,興福段,02400000,00235000,,
買賣,建物,0,1,,4,2,3,有,透天厝,"2,460,000",,,,無,1120717,,-,,,208.92,無建物主要用途資料,加強磚造,一層;二層;三層;,0490618,63,一層;二層;三層;,,,高雄市鹽埕區莒光街１６２巷１號,鹽埕區,鹽新段,,00450000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),1,1,,3,2,1,有,公寓(5樓含以下無電梯),"2,380,000",,,,無,1121109,26.80,其他-第四種住宅區,,,77.89,無建物主要用途資料,鋼筋混凝土造,五層;,0690610,43,五層;,,,高雄市鹽埕區大公路１２１巷９號５樓之３,鹽埕區,興橋段,01520000,00855000,,出賣人不負瑕疵擔保責任
買賣,房地(土地+建物),1,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"2,300,000",,,,有,1121012,2.69,其他-第五種商業區,,,24.25,無建物主要用途資料,鋼筋混凝土造,十層;,0701124,42,十層;,,,高雄市鹽埕區府北路２５號１０樓之２１,鹽埕區,府北段五小段,02210000,01144000,,
買賣,房地(土地+建物),2,1,,3,2,2,有,華廈(10層含以下有電梯),"2,100,000",,,,有,1120907,7.34,其他-第四種商業區,,,84.01,無建物主要用途資料,鋼筋混凝土造,五層;,0701228,42,五層;,,,高雄市鹽埕區大仁路２３７之４號５樓之６,鹽埕區,興橋段,02310000,00091000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,建物,0,2,,2,1,1,有,住宅大樓(11層含以上有電梯),"1,800,000",,,,有,1120914,,-,,,24.30,無建物主要用途資料,鋼筋混凝土造,八層;,0750217,38,八層;,,,高雄市鹽埕區北斗街５號８樓之４,鹽埕區,鹽壽段,,00662000,,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,800,000",,,,有,1121128,3.23,其他-第五種商業區,,,28.82,無建物主要用途資料,鋼筋混凝土造,六層;,0701124,42,六層;,,,高雄市鹽埕區府北路２５號６樓之２,鹽埕區,府北段五小段,02210000,01183000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"1,700,000",,,,有,1121205,2.88,其他-第四種商業區,,,27.30,無建物主要用途資料,鋼筋混凝土造,九層;,0691117,43,九層;,,,高雄市鹽埕區府北路２０號９樓之１８,鹽埕區,府北段五小段,01890000,00620000,,
買賣,建物,0,2,,2,1,1,有,住宅大樓(11層含以上有電梯),"1,700,000",,,,有,1120907,,-,,,22.92,無建物主要用途資料,鋼筋混凝土造,九層;,0750217,38,九層;,,,高雄市鹽埕區北斗街５號９樓之４３,鹽埕區,鹽壽段,,00648000,0602.地上權房屋,
買賣,房地(土地+建物),2,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"1,660,000",,,,有,1121106,6.06,其他-第五種商業區,,,19.14,住家用,鋼筋混凝土造,四層;,0840811,28,四層;,,,高雄市鹽埕區莒光街２１３號四樓之２,鹽埕區,鹽新段,01910002,00555000,,
